WorkOrderID,EquipmentID,EquipmentName,MaintenanceDate,MaintenanceType,FailureMode,RootCause,ActionTaken,SparePartsUsed,Technician,Downtime_Hours,Cost_INR,Priority,Status,Comments
WO-00065,BM001,Ball Mill,2024-02-17,Routine,Grinding Media Wear,Excessive Operation,Replace Grinding Media (3.5 Tons),High Chrome Grinding Balls,Ravi,16,115127,High,Pending,Awaiting spare parts
WO-00066,BC001,Belt Conveyor,2024-12-18,Emergency,Gearbox Leak,Seal Failure,Replace Gearbox Seal,Gearbox Oil Seal,Mahesh,11,310061,Low,Pending,Job closed as per standard checklist
WO-00067,BC001,Belt Conveyor,2024-04-26,Emergency,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Mahesh,39,157171,Low,Deferred,Job closed as per standard checklist
WO-00068,BC001,Belt Conveyor,2023-07-05,Predictive,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Rahul,41,37833,Critical,In Progress,Job closed as per standard checklist
WO-00069,BE001,Bucket Elevator,2024-10-03,Corrective,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Suresh,4,64088,Medium,Pending,Awaiting spare parts
WO-00070,RK001,Rotary Kiln,2023-10-08,Routine,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Priya,29,364870,Critical,Pending,Awaiting spare parts
WO-00071,BF001,Bag Filter,2024-08-23,Preventive,Solenoid Valve Fault,Coil Burnout,Replace Solenoid Valve,Solenoid Valve 1 inch,Ravi,38,470626,Medium,In Progress,Job closed as per standard checklist
WO-00072,BC001,Belt Conveyor,2023-01-17,Routine,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Suresh,38,225093,Low,Completed,Job closed as per standard checklist
WO-00073,JC001,Jaw Crusher,2023-08-10,Predictive,Motor Failure,Electrical Fault,Rewind Motor,Motor 75 kW,Rahul,24,446195,High,Completed,Job closed as per standard checklist
WO-00074,BF001,Bag Filter,2024-02-15,Predictive,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Ravi,39,284936,Medium,Deferred,Job closed as per standard checklist
WO-00075,BC001,Belt Conveyor,2024-02-16,Corrective,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Ajay,4,221935,Medium,In Progress,Job closed as per standard checklist
WO-00076,BE001,Bucket Elevator,2023-01-13,Corrective,Motor Overheating,Cooling Issue,Service Motor & Clean Vent,—,Ajay,9,438829,Critical,Completed,Job closed as per standard checklist
WO-00077,ENG001,Cummins Engine,2024-12-19,Corrective,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Ravi,42,251943,High,Completed,Job closed as per standard checklist
WO-00078,BM001,Ball Mill,2023-11-14,Emergency,Gearbox Oil Leak,Worn Seal,Replace Gearbox Seal & Top-up Oil,Oil Seal 200x240x15,Mahesh,47,44758,High,In Progress,Job closed as per standard checklist
WO-00079,BE001,Bucket Elevator,2024-04-18,Preventive,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Ajay,22,341030,Critical,Deferred,Job closed as per standard checklist
WO-00080,BE001,Bucket Elevator,2023-01-15,Routine,Motor Overheating,Cooling Issue,Service Motor & Clean Vent,—,Kiran,36,427917,Low,In Progress,Job closed as per standard checklist
WO-00081,BE001,Bucket Elevator,2024-02-19,Routine,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Ravi,2,73292,Low,Pending,Awaiting spare parts
WO-00082,RK001,Rotary Kiln,2023-08-01,Emergency,Tyre Migration,Shell Deformation,Adjust Tyre Lubrication,Graphite Lubricant,Anil,19,373185,Medium,Completed,Job closed as per standard checklist
WO-00083,RK001,Rotary Kiln,2023-01-23,Emergency,Drive System Failure,Gear Wear,Inspect Drive & Replace Pinion,Kiln Pinion Gear,Mahesh,4,480828,Low,Completed,Job closed as per standard checklist
WO-00084,JC001,Jaw Crusher,2024-01-18,Preventive,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Rahul,8,392502,Critical,Pending,Job closed as per standard checklist
WO-00085,JC001,Jaw Crusher,2024-09-27,Predictive,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Suresh,32,71173,High,Pending,Awaiting spare parts
WO-00086,RK001,Rotary Kiln,2024-03-29,Preventive,Drive System Failure,Gear Wear,Inspect Drive & Replace Pinion,Kiln Pinion Gear,Kiran,48,336840,Low,Completed,Awaiting spare parts
WO-00087,ENG001,Cummins Engine,2024-02-24,Preventive,Alternator Fault,Diode Failure,Replace Alternator Diode,Diode Assembly,Anil,40,437627,Medium,Completed,Job closed as per standard checklist
WO-00088,ENG001,Cummins Engine,2023-08-09,Predictive,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Anil,34,27553,Critical,Completed,Job closed as per standard checklist
WO-00089,ENG001,Cummins Engine,2023-09-19,Predictive,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Priya,28,99482,Low,In Progress,Job closed as per standard checklist
WO-00090,BM001,Ball Mill,2023-10-30,Emergency,Bearing Failure,Poor Lubrication,Replace Bearing & Flush Lubrication System,Spherical Roller Bearing 23264,Rahul,16,359578,High,Pending,Job closed as per standard checklist
WO-00091,JC001,Jaw Crusher,2024-04-28,Corrective,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Ajay,37,255235,Critical,In Progress,Awaiting spare parts
WO-00092,BE001,Bucket Elevator,2023-07-06,Routine,Chain Wear,Fatigue,Replace Chain (Dual Strand),Elevator Chain P=400,Priya,38,173599,Low,Deferred,Job closed as per standard checklist
WO-00093,BM001,Ball Mill,2023-09-10,Emergency,Motor Overheating,Cooling Fan Failure,Clean Cooling System & Replace Fan,Cooling Fan Assembly,Ajay,14,369293,Medium,In Progress,Job closed as per standard checklist
WO-00094,BC001,Belt Conveyor,2024-04-27,Predictive,Belt Damage,Material Impact,Vulcanize Belt Joint,Conveyor Belt 1200mm,Rahul,25,261458,Critical,Deferred,Job closed as per standard checklist
WO-00095,ENG001,Cummins Engine,2023-08-11,Routine,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Anil,13,301885,Low,In Progress,Job closed as per standard checklist
WO-00096,BM001,Ball Mill,2023-07-25,Routine,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Mahesh,8,310784,Critical,Pending,Job closed as per standard checklist
WO-00097,ENG001,Cummins Engine,2024-07-21,Emergency,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Anil,6,477941,High,In Progress,Job closed as per standard checklist
WO-00098,BF001,Bag Filter,2024-08-16,Preventive,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Ajay,11,164418,Medium,Completed,Job closed as per standard checklist
WO-00099,JC001,Jaw Crusher,2023-03-31,Predictive,High Vibration,Loose Mounting,Tighten Foundation Bolts,—,Ajay,8,407306,Low,In Progress,Job closed as per standard checklist
WO-00100,ENG001,Cummins Engine,2023-01-09,Predictive,Battery Failure,Low Voltage,Replace Battery Bank,Battery 12V 200Ah,Ravi,3,230290,Critical,Deferred,Awaiting spare parts
WO-00101,BF001,Bag Filter,2024-01-18,Corrective,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Rahul,43,27169,High,Deferred,Awaiting spare parts
WO-00102,BM001,Ball Mill,2023-03-20,Preventive,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Kiran,2,326254,Critical,Completed,Job closed as per standard checklist
WO-00103,JC001,Jaw Crusher,2023-07-07,Routine,Toggle Plate Breakage,Overload,Replace Toggle Plate,Toggle Plate,Priya,1,252924,Medium,In Progress,Awaiting spare parts
WO-00104,BM001,Ball Mill,2024-11-21,Emergency,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Ravi,23,168005,Critical,Completed,Job closed as per standard checklist
WO-00105,BF001,Bag Filter,2023-07-14,Preventive,Pressure Drop,Filter Damage,Replace Damaged Filter Bags,Filter Bag 130x2450,Kiran,2,445552,Low,Pending,Job closed as per standard checklist
WO-00106,JC001,Jaw Crusher,2024-09-20,Predictive,Flywheel Misalignment,Belt Wear,Replace V-Belts,V-Belt C-180,Mahesh,6,114887,High,Completed,Job closed as per standard checklist
WO-00107,BM001,Ball Mill,2024-07-05,Corrective,Bearing Failure,Poor Lubrication,Replace Bearing & Flush Lubrication System,Spherical Roller Bearing 23264,Priya,39,327806,Medium,Pending,Awaiting spare parts
WO-00108,AC001,Air Compressor,2024-08-31,Predictive,Air Filter Clog,Dust Load,Replace Air Filter,Air Filter Element,Ajay,7,325453,Critical,In Progress,Job closed as per standard checklist
WO-00109,PU001,Centrifugal Pump,2024-06-07,Preventive,Low Flow Rate,Impeller Damage,Replace Impeller,Impeller 250mm,Kiran,32,95479,Critical,Completed,Awaiting spare parts
WO-00110,VRM001,Vertical Roller Mill,2024-02-20,Emergency,Gearbox Noise,Gear Wear,Inspect & Replace Gear Oil,Gear Oil ISO VG 320,Ajay,7,190770,Low,Completed,Awaiting spare parts
WO-00111,AC001,Air Compressor,2024-08-15,Emergency,Unloader Fault,Pressure Switch Failure,Replace Pressure Switch,Pressure Switch,Ajay,36,146711,High,Pending,Awaiting spare parts
WO-00112,AC001,Air Compressor,2024-08-19,Emergency,Pressure Loss,Valve Leakage,Replace Intake Valve,Intake Valve Kit,Suresh,30,153627,High,Deferred,Job closed as per standard checklist
WO-00113,BC001,Belt Conveyor,2024-09-27,Emergency,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Mahesh,4,482874,Medium,Deferred,Job closed as per standard checklist
WO-00114,JC001,Jaw Crusher,2024-02-18,Predictive,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Rahul,22,90496,Low,In Progress,Job closed as per standard checklist
WO-00115,JC001,Jaw Crusher,2023-09-22,Emergency,Motor Failure,Electrical Fault,Rewind Motor,Motor 75 kW,Ravi,32,175282,Medium,Completed,Awaiting spare parts
WO-00116,AC001,Air Compressor,2023-01-01,Predictive,Pressure Loss,Valve Leakage,Replace Intake Valve,Intake Valve Kit,Anil,18,224011,High,Deferred,Job closed as per standard checklist
WO-00117,BE001,Bucket Elevator,2024-05-26,Corrective,Motor Overheating,Cooling Issue,Service Motor & Clean Vent,—,Kiran,34,336892,Medium,Completed,Job closed as per standard checklist
WO-00118,RK001,Rotary Kiln,2024-10-27,Predictive,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Anil,32,363210,High,Deferred,Job closed as per standard checklist
WO-00119,BE001,Bucket Elevator,2024-02-09,Preventive,Sprocket Wear,Chain Misalignment,Replace Drive Sprocket,Sprocket Z=12,Ravi,26,347237,Critical,In Progress,Awaiting spare parts
WO-00120,VRM001,Vertical Roller Mill,2023-07-06,Corrective,Separator Failure,Belt Slack,Replace Separator Belt,Separator Drive Belt,Kiran,46,114100,Medium,Deferred,Awaiting spare parts
WO-00121,BC001,Belt Conveyor,2024-03-22,Preventive,Belt Misalignment,Roller Issue,Adjust Rollers & Training Idlers,Training Idler,Rahul,15,176827,Low,Deferred,Job closed as per standard checklist
WO-00122,ENG001,Cummins Engine,2024-05-21,Predictive,Engine Overheating,Coolant Issue,Replace Coolant & Thermostat,Thermostat 71°C,Suresh,48,80778,Medium,In Progress,Job closed as per standard checklist
WO-00123,VRM001,Vertical Roller Mill,2023-08-30,Routine,Gearbox Noise,Gear Wear,Inspect & Replace Gear Oil,Gear Oil ISO VG 320,Anil,40,377341,Low,Completed,Job closed as per standard checklist
WO-00124,ENG001,Cummins Engine,2023-10-07,Predictive,Oil Pressure Drop,Oil Pump Wear,Replace Oil Pump & Filter,Oil Filter LF9001,Ravi,44,288679,Medium,Deferred,Job closed as per standard checklist
WO-00125,BE001,Bucket Elevator,2024-07-20,Emergency,Bucket Damage,Overloading,Replace Buckets (Set of 6),Polymer Bucket 8L,Suresh,22,194569,Low,Deferred,Job closed as per standard checklist
WO-00126,PU001,Centrifugal Pump,2023-01-23,Emergency,Low Flow Rate,Impeller Damage,Replace Impeller,Impeller 250mm,Kiran,6,328150,Critical,In Progress,Job closed as per standard checklist
WO-00127,BF001,Bag Filter,2024-12-08,Routine,Filter Blockage,Dust Accumulation,Clean Filter Bags (Set of 50),PPS Filter Bag,Anil,16,69473,Low,Completed,Job closed as per standard checklist
WO-00128,PU001,Centrifugal Pump,2024-11-06,Routine,Bearing Noise,Bearing Wear,Replace Bearings,SKF 6310 Bearing,Suresh,31,424174,Low,Deferred,Job closed as per standard checklist
WO-00129,JC001,Jaw Crusher,2024-03-06,Emergency,Jaw Plate Wear,Abrasion,Replace Fixed & Swing Jaw Plates,Manganese Jaw Plate Set,Rahul,40,439114,Low,Pending,Job closed as per standard checklist
WO-00130,ENG001,Cummins Engine,2023-07-03,Emergency,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Priya,12,245941,Medium,Deferred,Job closed as per standard checklist
WO-00131,PU001,Centrifugal Pump,2024-10-01,Corrective,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Suresh,32,477934,Medium,In Progress,Job closed as per standard checklist
WO-00132,RK001,Rotary Kiln,2023-01-02,Predictive,Temperature Fluctuation,Burner Issue,Calibrate Burner & Adjust Flame,Burner Nozzle,Ravi,39,158328,Medium,In Progress,Job closed as per standard checklist
WO-00133,RK001,Rotary Kiln,2024-04-15,Predictive,Refractory Damage,Thermal Stress,Repair Refractory Lining (5 m²),High Alumina Bricks,Suresh,21,497773,Medium,Completed,Job closed as per standard checklist
WO-00134,BM001,Ball Mill,2023-03-29,Emergency,Shell Liner Damage,Material Erosion,Replace Affected Liner Plates,Lifter Liner Plates,Rahul,46,352897,Low,Deferred,Job closed as per standard checklist
WO-00135,BC001,Belt Conveyor,2024-11-29,Preventive,Drive Motor Trip,Overload,Check Motor & Reduce Load,—,Mahesh,18,151877,Low,Deferred,Job closed as per standard checklist
WO-00136,VRM001,Vertical Roller Mill,2023-10-26,Routine,Hydraulic Pressure Drop,Hydraulic Leak,Repair Hydraulic System & Replace Hose,Hydraulic Hose 1/2 inch,Rahul,44,262064,High,Completed,Job closed as per standard checklist
WO-00137,BE001,Bucket Elevator,2023-10-28,Routine,Belt Slippage,Tension Loss,Adjust Take-up Weight,—,Mahesh,43,412164,Low,Deferred,Job closed as per standard checklist
WO-00138,PU001,Centrifugal Pump,2023-11-19,Corrective,Cavitation,NPSH Issue,Adjust Suction Valve & Clean Strainer,Suction Strainer,Ravi,22,219426,Critical,In Progress,Job closed as per standard checklist
WO-00139,ENG001,Cummins Engine,2024-08-04,Emergency,Fuel Leakage,Fuel Line Damage,Repair Fuel Line,Fuel Injector Pipe,Mahesh,13,42204,Medium,In Progress,Job closed as per standard checklist
