IncidentID,EquipmentID,EquipmentName,IncidentDate,IncidentTime,IncidentType,Category,Severity,Description,Location,ReportedBy,Shift,PersonnelInvolved,InjuryType,ImmediateAction,RootCause,CorrectiveAction,Status,DaysLost
INC-00019,BE001,Bucket Elevator,2024-03-21,18:11,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Power House,Maintenance Engineer,B,3,None,"Production stopped, supervisor informed",Inadequate Inspection,PPE compliance reinforced,Open,0
INC-00020,BE001,Bucket Elevator,2024-06-25,22:04,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Power House,Operator-1,C,1,None,"Production stopped, supervisor informed",Inadequate Inspection,Sensor calibration done,Closed,0
INC-00021,BC001,Belt Conveyor,2023-12-05,01:15,Material Spillage,Environmental,Medium,Material spillage from skirt board,Power House,Operator-2,C,5,None,"First aid administered, ambulance called",Material Failure,Guarding installed,Investigating,0
INC-00022,BF001,Bag Filter,2024-02-08,08:42,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Unit-2,Shift Incharge,A,2,None,"Equipment isolated, LOTO applied",Material Failure,Guarding installed,Investigating,0
INC-00023,JC001,Jaw Crusher,2023-01-11,09:42,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Stockyard,Shift Incharge,B,3,None,Fire extinguisher deployed,Material Failure,Sensor calibration done,Open,0
INC-00024,VRM001,Vertical Roller Mill,2023-02-04,23:10,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Power House,Maintenance Engineer,B,5,Minor,Spill contained with absorbent,Environmental Factor,Sensor calibration done,Closed,12
INC-00025,RK001,Rotary Kiln,2024-01-08,09:24,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Silo Area,Shift Incharge,A,4,None,"Production stopped, supervisor informed",Inadequate Inspection,PPE compliance reinforced,Open,0
INC-00026,VRM001,Vertical Roller Mill,2023-01-17,23:43,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Silo Area,Operator-2,B,2,None,"Area cordoned off, ERT informed",Environmental Factor,Procedure updated,Investigating,0
INC-00027,VRM001,Vertical Roller Mill,2023-08-14,09:12,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Silo Area,Maintenance Engineer,C,3,None,Fire extinguisher deployed,Equipment Aging,Sensor calibration done,Closed,0
INC-00028,PU001,Centrifugal Pump,2024-07-08,03:56,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Power House,Shift Incharge,C,1,None,Fire extinguisher deployed,Procedural Lapse,PPE compliance reinforced,Investigating,0
INC-00029,AC001,Air Compressor,2023-12-11,09:34,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Unit-2,Shift Incharge,A,2,Major,"Equipment isolated, LOTO applied",Environmental Factor,PPE compliance reinforced,Investigating,17
INC-00030,ENG001,Cummins Engine,2024-08-25,11:30,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-2,Shift Incharge,C,4,Minor,"Production stopped, supervisor informed",Equipment Aging,Guarding installed,Open,13
INC-00031,RK001,Rotary Kiln,2024-08-06,21:29,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Stockyard,Maintenance Engineer,C,0,Minor,"Equipment isolated, LOTO applied",Equipment Aging,Re-training scheduled,Open,13
INC-00032,VRM001,Vertical Roller Mill,2023-12-01,10:56,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Unit-1,Operator-2,B,3,None,Spill contained with absorbent,Inadequate Inspection,Guarding installed,Closed,0
INC-00033,AC001,Air Compressor,2024-06-17,15:38,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Unit-2,Shift Incharge,B,3,None,"Production stopped, supervisor informed",Design Defect,Sensor calibration done,Closed,0
INC-00034,BE001,Bucket Elevator,2024-11-24,03:37,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Power House,Operator-2,A,2,None,Spill contained with absorbent,Equipment Aging,Sensor calibration done,Closed,0
INC-00035,BC001,Belt Conveyor,2024-08-06,06:16,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Silo Area,Operator-1,C,3,None,"Production stopped, supervisor informed",Equipment Aging,Frequency of inspection increased,Closed,0
INC-00036,PU001,Centrifugal Pump,2024-01-31,21:12,Near Miss,Safety,Low,Wrench fell from pump platform,Unit-2,Operator-2,A,3,Minor,"First aid administered, ambulance called",Human Error,Re-training scheduled,Closed,4
INC-00037,PU001,Centrifugal Pump,2024-08-06,06:39,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Silo Area,Maintenance Engineer,A,0,None,"Equipment isolated, LOTO applied",Human Error,Sensor calibration done,Investigating,0
INC-00038,JC001,Jaw Crusher,2024-04-30,10:43,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Unit-2,Operator-1,B,0,None,"Production stopped, supervisor informed",Design Defect,Frequency of inspection increased,Open,0
INC-00039,BC001,Belt Conveyor,2024-07-03,02:02,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-2,Operator-2,A,2,Minor,Fire extinguisher deployed,Procedural Lapse,Frequency of inspection increased,Closed,5
INC-00040,BC001,Belt Conveyor,2023-12-02,08:40,Material Spillage,Environmental,Medium,Material spillage from skirt board,Power House,Operator-2,A,0,None,"Area cordoned off, ERT informed",Design Defect,Re-training scheduled,Open,0
INC-00041,BF001,Bag Filter,2024-07-22,15:45,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Silo Area,Operator-2,C,0,None,Fire extinguisher deployed,Equipment Aging,PPE compliance reinforced,Investigating,0
INC-00042,VRM001,Vertical Roller Mill,2023-05-18,01:28,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Power House,Maintenance Engineer,B,3,None,Fire extinguisher deployed,Material Failure,Procedure updated,Investigating,0
INC-00043,BM001,Ball Mill,2023-05-04,13:40,Worker Slip,Safety,Low,Worker slipped near lubrication point,Unit-2,Operator-2,A,0,None,"Production stopped, supervisor informed",Human Error,Re-training scheduled,Closed,0
INC-00044,BF001,Bag Filter,2023-08-17,04:56,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Unit-2,Shift Incharge,A,5,None,Spill contained with absorbent,Inadequate Inspection,Sensor calibration done,Investigating,0
INC-00045,AC001,Air Compressor,2024-07-11,17:35,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Stockyard,Safety Officer,C,3,Minor,"Production stopped, supervisor informed",Procedural Lapse,Frequency of inspection increased,Open,21
INC-00046,PU001,Centrifugal Pump,2023-11-17,00:20,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Unit-2,Maintenance Engineer,B,1,Minor,Fire extinguisher deployed,Equipment Aging,Frequency of inspection increased,Investigating,29
INC-00047,BE001,Bucket Elevator,2023-07-23,21:50,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Stockyard,Shift Incharge,B,4,None,"Production stopped, supervisor informed",Equipment Aging,Sensor calibration done,Closed,0
INC-00048,ENG001,Cummins Engine,2023-02-13,18:33,Engine Fire,Fire,Critical,Turbocharger oil leak led to fire,Power House,Shift Incharge,C,0,None,Spill contained with absorbent,Design Defect,Procedure updated,Investigating,0
INC-00049,BM001,Ball Mill,2024-11-13,18:26,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Unit-1,Shift Incharge,B,3,None,"Area cordoned off, ERT informed",Material Failure,Guarding installed,Investigating,0
INC-00050,BM001,Ball Mill,2023-12-08,14:09,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Unit-2,Shift Incharge,C,2,None,"Equipment isolated, LOTO applied",Environmental Factor,PPE compliance reinforced,Closed,0
INC-00051,JC001,Jaw Crusher,2024-08-07,19:06,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Unit-2,Operator-2,B,1,None,"First aid administered, ambulance called",Equipment Aging,Re-training scheduled,Open,0
INC-00052,BF001,Bag Filter,2023-04-13,13:04,Confined Space Hazard,Safety,High,Worker entered without gas test,Power House,Maintenance Engineer,B,3,None,"Area cordoned off, ERT informed",Design Defect,Sensor calibration done,Closed,0
INC-00053,VRM001,Vertical Roller Mill,2023-03-04,04:08,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Power House,Maintenance Engineer,C,3,None,Spill contained with absorbent,Design Defect,PPE compliance reinforced,Investigating,0
INC-00054,RK001,Rotary Kiln,2024-02-24,07:01,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Unit-2,Maintenance Engineer,A,3,None,"First aid administered, ambulance called",Environmental Factor,Sensor calibration done,Investigating,0
INC-00055,BC001,Belt Conveyor,2024-12-03,05:04,Material Spillage,Environmental,Medium,Material spillage from skirt board,Unit-2,Operator-1,A,0,None,"First aid administered, ambulance called",Procedural Lapse,Guarding installed,Investigating,0
INC-00056,BC001,Belt Conveyor,2023-01-24,10:20,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-2,Operator-1,B,4,None,Fire extinguisher deployed,Design Defect,PPE compliance reinforced,Open,0
INC-00057,RK001,Rotary Kiln,2024-12-23,13:30,Burner Flashback,Fire,Critical,Burner flashback injured operator,Unit-2,Operator-1,C,2,Major,"First aid administered, ambulance called",Human Error,Guarding installed,Closed,12
INC-00058,JC001,Jaw Crusher,2024-09-09,12:06,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Unit-2,Operator-2,A,0,None,Fire extinguisher deployed,Design Defect,Sensor calibration done,Open,0
INC-00059,AC001,Air Compressor,2024-09-10,01:36,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Unit-1,Operator-2,A,4,None,Fire extinguisher deployed,Material Failure,Procedure updated,Open,0
INC-00060,VRM001,Vertical Roller Mill,2024-11-30,03:42,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Stockyard,Operator-2,A,0,None,"Area cordoned off, ERT informed",Material Failure,Sensor calibration done,Open,0
INC-00061,ENG001,Cummins Engine,2024-03-10,16:56,Engine Fire,Fire,Critical,Turbocharger oil leak led to fire,Unit-1,Maintenance Engineer,B,5,None,"First aid administered, ambulance called",Equipment Aging,Guarding installed,Open,0
INC-00062,AC001,Air Compressor,2024-07-01,15:45,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Unit-2,Operator-2,B,2,None,Fire extinguisher deployed,Inadequate Inspection,Re-training scheduled,Investigating,0
INC-00063,PU001,Centrifugal Pump,2024-01-12,05:29,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Unit-1,Operator-1,A,2,None,"Area cordoned off, ERT informed",Inadequate Inspection,Sensor calibration done,Open,0
INC-00064,VRM001,Vertical Roller Mill,2024-04-24,09:24,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Unit-1,Operator-1,C,2,None,"First aid administered, ambulance called",Material Failure,Frequency of inspection increased,Investigating,0
INC-00065,BM001,Ball Mill,2024-01-03,13:40,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Stockyard,Shift Incharge,A,2,Minor,"Area cordoned off, ERT informed",Human Error,Sensor calibration done,Investigating,14
INC-00066,BF001,Bag Filter,2024-12-10,10:30,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Power House,Safety Officer,B,3,None,"Production stopped, supervisor informed",Procedural Lapse,Procedure updated,Investigating,0
INC-00067,BF001,Bag Filter,2023-10-03,11:00,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-1,Safety Officer,B,2,None,"First aid administered, ambulance called",Environmental Factor,Procedure updated,Closed,0
INC-00068,JC001,Jaw Crusher,2023-06-26,10:46,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Power House,Maintenance Engineer,B,4,None,Fire extinguisher deployed,Design Defect,Re-training scheduled,Open,0
INC-00069,VRM001,Vertical Roller Mill,2023-07-18,10:13,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Unit-1,Shift Incharge,C,4,Minor,"Production stopped, supervisor informed",Design Defect,Guarding installed,Investigating,4
INC-00070,ENG001,Cummins Engine,2023-03-25,21:06,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-1,Safety Officer,A,3,None,"Production stopped, supervisor informed",Inadequate Inspection,Frequency of inspection increased,Open,0
INC-00071,RK001,Rotary Kiln,2024-06-17,05:02,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Unit-1,Operator-2,B,0,Minor,"Production stopped, supervisor informed",Design Defect,Frequency of inspection increased,Investigating,17
INC-00072,BM001,Ball Mill,2024-11-10,07:53,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Power House,Safety Officer,C,5,None,"Area cordoned off, ERT informed",Equipment Aging,Procedure updated,Open,0
INC-00073,JC001,Jaw Crusher,2023-01-04,18:01,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Unit-1,Operator-1,C,0,Minor,Spill contained with absorbent,Inadequate Inspection,Guarding installed,Open,2
INC-00074,PU001,Centrifugal Pump,2023-07-27,13:45,Near Miss,Safety,Low,Wrench fell from pump platform,Silo Area,Maintenance Engineer,B,2,None,Fire extinguisher deployed,Human Error,Frequency of inspection increased,Closed,0
INC-00075,ENG001,Cummins Engine,2024-01-29,21:43,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-1,Operator-2,B,4,None,"Area cordoned off, ERT informed",Material Failure,PPE compliance reinforced,Closed,0
INC-00076,BM001,Ball Mill,2023-06-09,16:46,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Silo Area,Operator-2,C,2,None,"Production stopped, supervisor informed",Human Error,Guarding installed,Investigating,0
INC-00077,VRM001,Vertical Roller Mill,2024-03-06,04:35,Foreign Object,Process,Low,Metal piece detected in separator,Unit-2,Operator-1,B,2,None,"Area cordoned off, ERT informed",Human Error,PPE compliance reinforced,Investigating,0
INC-00078,BM001,Ball Mill,2023-07-07,23:32,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Power House,Maintenance Engineer,C,2,None,Fire extinguisher deployed,Human Error,Guarding installed,Open,0
INC-00079,BM001,Ball Mill,2023-02-25,04:31,Worker Slip,Safety,Low,Worker slipped near lubrication point,Silo Area,Shift Incharge,C,4,Major,Fire extinguisher deployed,Equipment Aging,Guarding installed,Investigating,21
INC-00080,JC001,Jaw Crusher,2024-01-19,09:08,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Stockyard,Maintenance Engineer,C,0,None,"Equipment isolated, LOTO applied",Environmental Factor,Guarding installed,Closed,0
INC-00081,VRM001,Vertical Roller Mill,2023-01-28,18:58,Foreign Object,Process,Low,Metal piece detected in separator,Unit-1,Shift Incharge,A,5,None,Fire extinguisher deployed,Procedural Lapse,PPE compliance reinforced,Investigating,0
INC-00082,RK001,Rotary Kiln,2023-03-07,13:41,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Operator-2,C,4,None,"First aid administered, ambulance called",Environmental Factor,Sensor calibration done,Open,0
INC-00083,RK001,Rotary Kiln,2023-03-24,13:59,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Unit-2,Shift Incharge,C,3,None,"Area cordoned off, ERT informed",Equipment Aging,Frequency of inspection increased,Closed,0
INC-00084,AC001,Air Compressor,2024-04-02,01:32,Noise Exceedance,Environmental,Low,Compressor noise above threshold,Unit-2,Safety Officer,C,3,None,"Area cordoned off, ERT informed",Inadequate Inspection,Frequency of inspection increased,Open,0
INC-00085,PU001,Centrifugal Pump,2023-06-28,04:02,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Silo Area,Safety Officer,B,5,None,"Production stopped, supervisor informed",Equipment Aging,Guarding installed,Closed,0
INC-00086,BF001,Bag Filter,2023-02-20,10:34,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-1,Safety Officer,A,4,None,"Equipment isolated, LOTO applied",Environmental Factor,Sensor calibration done,Investigating,0
INC-00087,BC001,Belt Conveyor,2023-10-13,00:49,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-1,Operator-2,A,0,None,"Area cordoned off, ERT informed",Equipment Aging,PPE compliance reinforced,Open,0
INC-00088,RK001,Rotary Kiln,2024-12-25,22:01,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Silo Area,Shift Incharge,A,5,Minor,Fire extinguisher deployed,Material Failure,Sensor calibration done,Open,23
INC-00089,PU001,Centrifugal Pump,2023-12-23,04:36,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Power House,Maintenance Engineer,B,1,None,"Equipment isolated, LOTO applied",Environmental Factor,Frequency of inspection increased,Investigating,0
INC-00090,JC001,Jaw Crusher,2023-11-24,11:11,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Silo Area,Operator-1,C,4,None,"Equipment isolated, LOTO applied",Procedural Lapse,Procedure updated,Closed,0
INC-00091,JC001,Jaw Crusher,2023-01-03,12:48,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Stockyard,Safety Officer,B,4,None,Fire extinguisher deployed,Procedural Lapse,Guarding installed,Closed,0
INC-00092,BF001,Bag Filter,2023-10-20,02:20,Confined Space Hazard,Safety,High,Worker entered without gas test,Power House,Operator-1,A,0,None,"Area cordoned off, ERT informed",Human Error,Frequency of inspection increased,Open,0
INC-00093,ENG001,Cummins Engine,2024-06-16,06:37,Exhaust Leak,Safety,Medium,CO detected near engine room,Silo Area,Safety Officer,C,2,None,Fire extinguisher deployed,Human Error,Sensor calibration done,Open,0
INC-00094,BM001,Ball Mill,2024-04-11,01:01,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Unit-2,Safety Officer,B,5,Minor,Spill contained with absorbent,Design Defect,PPE compliance reinforced,Closed,15
INC-00095,BE001,Bucket Elevator,2023-01-25,17:18,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Unit-1,Operator-1,A,5,None,Fire extinguisher deployed,Inadequate Inspection,Frequency of inspection increased,Investigating,0
INC-00096,BF001,Bag Filter,2023-11-23,12:39,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Power House,Maintenance Engineer,B,0,Minor,Fire extinguisher deployed,Human Error,Procedure updated,Open,23
INC-00097,RK001,Rotary Kiln,2023-08-23,03:43,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Silo Area,Maintenance Engineer,B,2,Minor,"Area cordoned off, ERT informed",Equipment Aging,Guarding installed,Open,22
INC-00098,RK001,Rotary Kiln,2023-01-04,21:50,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Safety Officer,C,0,Minor,"Production stopped, supervisor informed",Design Defect,Guarding installed,Open,6
INC-00099,BF001,Bag Filter,2024-09-18,02:05,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Silo Area,Safety Officer,C,2,None,Fire extinguisher deployed,Human Error,Re-training scheduled,Closed,0
INC-00100,AC001,Air Compressor,2024-04-19,10:33,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Unit-2,Operator-1,A,2,None,Spill contained with absorbent,Human Error,Frequency of inspection increased,Investigating,0
INC-00101,RK001,Rotary Kiln,2024-03-26,22:36,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Silo Area,Operator-1,A,2,Minor,Fire extinguisher deployed,Inadequate Inspection,Sensor calibration done,Open,11
INC-00102,BM001,Ball Mill,2024-08-05,03:20,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Unit-1,Operator-2,A,2,None,"Production stopped, supervisor informed",Equipment Aging,Procedure updated,Closed,0
INC-00103,BF001,Bag Filter,2023-10-03,12:14,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-1,Maintenance Engineer,B,0,None,Fire extinguisher deployed,Material Failure,Sensor calibration done,Investigating,0
INC-00104,AC001,Air Compressor,2024-08-28,09:55,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Silo Area,Maintenance Engineer,A,5,None,Fire extinguisher deployed,Procedural Lapse,Procedure updated,Open,0
INC-00105,BF001,Bag Filter,2024-05-16,05:37,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-2,Operator-1,A,2,None,"Equipment isolated, LOTO applied",Material Failure,Frequency of inspection increased,Open,0
INC-00106,VRM001,Vertical Roller Mill,2024-10-30,15:29,Foreign Object,Process,Low,Metal piece detected in separator,Unit-1,Safety Officer,A,2,None,"Equipment isolated, LOTO applied",Equipment Aging,Frequency of inspection increased,Investigating,0
INC-00107,AC001,Air Compressor,2024-05-15,02:39,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Silo Area,Safety Officer,A,1,None,Fire extinguisher deployed,Design Defect,Guarding installed,Open,0
INC-00108,PU001,Centrifugal Pump,2023-08-22,06:02,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Unit-2,Operator-1,A,2,None,"Production stopped, supervisor informed",Environmental Factor,Procedure updated,Investigating,0
INC-00109,BE001,Bucket Elevator,2024-11-04,16:51,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Unit-1,Shift Incharge,C,4,None,"Area cordoned off, ERT informed",Design Defect,Frequency of inspection increased,Investigating,0
INC-00110,RK001,Rotary Kiln,2024-06-25,01:52,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Stockyard,Operator-2,A,5,None,"Production stopped, supervisor informed",Procedural Lapse,Sensor calibration done,Open,0
INC-00111,AC001,Air Compressor,2023-08-26,10:53,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Unit-1,Shift Incharge,A,1,None,"Production stopped, supervisor informed",Material Failure,PPE compliance reinforced,Closed,0
INC-00112,PU001,Centrifugal Pump,2023-07-04,20:19,Near Miss,Safety,Low,Wrench fell from pump platform,Silo Area,Operator-1,A,0,None,"First aid administered, ambulance called",Environmental Factor,Re-training scheduled,Closed,0
INC-00113,BF001,Bag Filter,2024-03-25,14:03,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Silo Area,Operator-2,B,2,None,"Production stopped, supervisor informed",Environmental Factor,Re-training scheduled,Open,0
INC-00114,PU001,Centrifugal Pump,2023-01-11,14:17,Near Miss,Safety,Low,Wrench fell from pump platform,Stockyard,Shift Incharge,A,4,Minor,"First aid administered, ambulance called",Design Defect,Sensor calibration done,Open,22
INC-00115,RK001,Rotary Kiln,2024-11-10,16:24,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Stockyard,Operator-1,C,3,None,"Area cordoned off, ERT informed",Design Defect,Sensor calibration done,Open,0
INC-00116,BE001,Bucket Elevator,2024-08-17,16:56,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Power House,Operator-2,A,5,None,Fire extinguisher deployed,Human Error,PPE compliance reinforced,Closed,0
INC-00117,PU001,Centrifugal Pump,2024-12-25,00:17,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Unit-2,Shift Incharge,A,1,None,"Area cordoned off, ERT informed",Equipment Aging,Frequency of inspection increased,Closed,0
INC-00118,RK001,Rotary Kiln,2024-11-10,02:40,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Stockyard,Safety Officer,B,2,None,"Production stopped, supervisor informed",Procedural Lapse,Sensor calibration done,Open,0
INC-00119,BC001,Belt Conveyor,2023-08-26,23:44,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-2,Operator-2,C,2,Minor,Fire extinguisher deployed,Equipment Aging,Re-training scheduled,Open,19
