InspectionID,EquipmentID,EquipmentName,InspectionDate,Inspector,InspectionType,Checkpoints,Readings,Result,Findings,Recommendations,NextInspectionDate,Status
INS-00001,BE001,Bucket Elevator,2024-09-28,Safety-Team,Quarterly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 38.2 mm/s | Belt Slippage: 13.5 mm/s | Bearing Temp: 58.3 °C | Drive Current: 41.8 A | Take-up Position: 49.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-09-28,Completed
INS-00012,PU001,Centrifugal Pump,2023-04-30,Production-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 36.1 bar | Vibration: 47.6 mm/s | Seal Condition: 50.9 mm/s | Bearing Temp: 67.7 °C | Motor Amps: 22.9 A,Conditional Pass,Minor deviation in Vibration,Schedule follow-up within 7 days,2023-05-01,Action Pending
INS-00013,BF001,Bag Filter,2023-07-06,QA-Team,Annual,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 43.1 bar | Compressor Pressure: 11.0 bar | Filter Condition: 25.7 mm/s | Fan Vibration: 64.8 mm/s | Dust Emission: 16.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-10-04,Completed
INS-00014,BC001,Belt Conveyor,2023-04-04,QA-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 54.7 mm/s | Idler Condition: 89.2 mm/s | Belt Tension: 42.9 mm/s | Motor Amps: 12.9 A | Slip Detection: 33.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-03,Completed
INS-00015,BM001,Ball Mill,2024-10-25,Maintenance-Team,Monthly,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 21.0 °C | Oil Pressure: 16.3 bar | Motor Current: 21.5 A | Shell Temperature: 22.9 °C | Lubrication Flow: 20.4 mm/s,Fail,Critical deviation in Shell Temperature,"Immediate maintenance required, equipment taken offline",2025-01-23,Action Pending
INS-00016,AC001,Air Compressor,2024-01-10,Safety-Team,Daily,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 62.7 bar | Oil Level: 59.3 mm/s | Air Temperature: 60.8 °C | Motor Amps: 89.3 A | Safety Valve: 75.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-01-09,Completed
INS-00017,BC001,Belt Conveyor,2023-09-08,Production-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 44.7 mm/s | Idler Condition: 80.8 mm/s | Belt Tension: 61.1 mm/s | Motor Amps: 66.2 A | Slip Detection: 43.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-09-07,Completed
INS-00018,ENG001,Cummins Engine,2023-12-26,QA-Team,Weekly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 54.6 bar | Coolant Temp: 16.6 °C | Battery Voltage: 38.6 mm/s | Exhaust Temp: 30.9 °C | RPM: 28.8 mm/s,Fail,Critical deviation in RPM,"Immediate maintenance required, equipment taken offline",2023-12-27,Action Pending
INS-00019,BF001,Bag Filter,2023-04-04,Maintenance-Team,Quarterly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 45.9 bar | Compressor Pressure: 36.6 bar | Filter Condition: 23.8 mm/s | Fan Vibration: 54.5 mm/s | Dust Emission: 49.2 mm/s,Conditional Pass,Minor deviation in Dust Emission,Schedule follow-up within 7 days,2023-04-11,Action Pending
INS-00020,ENG001,Cummins Engine,2024-05-15,QA-Team,Annual,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 21.7 bar | Coolant Temp: 14.0 °C | Battery Voltage: 36.2 mm/s | Exhaust Temp: 11.7 °C | RPM: 13.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-05-16,Completed
INS-00021,BF001,Bag Filter,2024-08-26,Safety-Team,Quarterly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 19.5 bar | Compressor Pressure: 46.3 bar | Filter Condition: 65.5 mm/s | Fan Vibration: 37.7 mm/s | Dust Emission: 38.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-08-26,Completed
INS-00022,BM001,Ball Mill,2023-10-28,Production-Team,Monthly,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 10.4 °C | Oil Pressure: 60.0 bar | Motor Current: 12.5 A | Shell Temperature: 51.0 °C | Lubrication Flow: 79.6 mm/s,Fail,Critical deviation in Oil Pressure,"Immediate maintenance required, equipment taken offline",2024-10-27,Action Pending
INS-00023,JC001,Jaw Crusher,2023-06-25,Maintenance-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 71.0 mm/s | Bearing Temp: 17.2 °C | Flywheel Alignment: 38.4 mm/s | Motor Amps: 87.2 A | Oil Level: 74.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-07-02,Completed
INS-00024,JC001,Jaw Crusher,2023-08-04,QA-Team,Annual,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 52.7 mm/s | Bearing Temp: 42.0 °C | Flywheel Alignment: 59.1 mm/s | Motor Amps: 76.0 A | Oil Level: 69.5 mm/s,Fail,Critical deviation in Jaw Plate Gap,"Immediate maintenance required, equipment taken offline",2024-08-03,Action Pending
INS-00025,JC001,Jaw Crusher,2023-12-12,QA-Team,Monthly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 43.9 mm/s | Bearing Temp: 81.3 °C | Flywheel Alignment: 84.6 mm/s | Motor Amps: 35.2 A | Oil Level: 39.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-19,Completed
INS-00026,BC001,Belt Conveyor,2023-04-08,Production-Team,Annual,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 32.6 mm/s | Idler Condition: 71.3 mm/s | Belt Tension: 21.5 mm/s | Motor Amps: 80.0 A | Slip Detection: 30.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-07,Completed
INS-00027,ENG001,Cummins Engine,2024-04-25,Production-Team,Weekly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 34.8 bar | Coolant Temp: 15.0 °C | Battery Voltage: 61.8 mm/s | Exhaust Temp: 76.8 °C | RPM: 21.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-05-02,Completed
INS-00028,VRM001,Vertical Roller Mill,2024-04-11,QA-Team,Daily,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 24.9 bar | Roller Gap: 71.9 mm/s | Gearbox Oil Level: 54.3 mm/s | Vibration: 61.3 mm/s | Mill DP: 15.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-04-11,Completed
INS-00029,PU001,Centrifugal Pump,2024-04-24,Safety-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 79.9 bar | Vibration: 67.8 mm/s | Seal Condition: 44.5 mm/s | Bearing Temp: 71.0 °C | Motor Amps: 71.1 A,Pass,All parameters within normal range,Continue routine monitoring,2024-07-23,Completed
INS-00030,BF001,Bag Filter,2024-12-18,Third-Party-Auditor,Weekly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 23.1 bar | Compressor Pressure: 74.4 bar | Filter Condition: 29.4 mm/s | Fan Vibration: 65.9 mm/s | Dust Emission: 40.2 mm/s,Conditional Pass,Minor deviation in Differential Pressure,Schedule follow-up within 7 days,2025-01-17,Action Pending
INS-00031,JC001,Jaw Crusher,2023-07-12,Production-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 68.4 mm/s | Bearing Temp: 51.2 °C | Flywheel Alignment: 54.1 mm/s | Motor Amps: 46.5 A | Oil Level: 49.1 mm/s,Fail,Critical deviation in Motor Amps,"Immediate maintenance required, equipment taken offline",2023-08-11,Action Pending
INS-00032,VRM001,Vertical Roller Mill,2023-12-07,Safety-Team,Daily,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 22.5 bar | Roller Gap: 70.8 mm/s | Gearbox Oil Level: 62.9 mm/s | Vibration: 73.5 mm/s | Mill DP: 82.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-14,Completed
INS-00033,BC001,Belt Conveyor,2023-04-19,Production-Team,Daily,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 17.0 mm/s | Idler Condition: 79.1 mm/s | Belt Tension: 38.9 mm/s | Motor Amps: 65.3 A | Slip Detection: 48.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-26,Completed
INS-00034,RK001,Rotary Kiln,2024-07-04,Production-Team,Annual,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 39.3 °C | Burning Zone Temp: 31.1 °C | Drive Torque: 70.7 mm/s | Tyre Migration: 28.4 mm/s | ID Fan Draft: 18.7 mm/s,Conditional Pass,Minor deviation in Burning Zone Temp,Schedule follow-up within 7 days,2024-07-05,Action Pending
INS-00035,ENG001,Cummins Engine,2023-09-03,Safety-Team,Daily,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 88.2 bar | Coolant Temp: 23.8 °C | Battery Voltage: 41.0 mm/s | Exhaust Temp: 87.0 °C | RPM: 48.3 mm/s,Fail,Critical deviation in RPM,"Immediate maintenance required, equipment taken offline",2024-09-02,Action Pending
INS-00036,BF001,Bag Filter,2024-09-16,Third-Party-Auditor,Weekly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 12.2 bar | Compressor Pressure: 21.9 bar | Filter Condition: 10.2 mm/s | Fan Vibration: 88.1 mm/s | Dust Emission: 35.0 mm/s,Fail,Critical deviation in Fan Vibration,"Immediate maintenance required, equipment taken offline",2024-10-16,Action Pending
INS-00037,BM001,Ball Mill,2023-09-11,Maintenance-Team,Annual,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 59.1 °C | Oil Pressure: 36.9 bar | Motor Current: 52.3 A | Shell Temperature: 52.6 °C | Lubrication Flow: 43.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-10,Completed
INS-00038,BF001,Bag Filter,2023-12-03,QA-Team,Quarterly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 42.7 bar | Compressor Pressure: 36.1 bar | Filter Condition: 23.0 mm/s | Fan Vibration: 20.8 mm/s | Dust Emission: 78.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-01-02,Completed
INS-00039,RK001,Rotary Kiln,2024-08-19,Production-Team,Quarterly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 22.4 °C | Burning Zone Temp: 49.3 °C | Drive Torque: 46.4 mm/s | Tyre Migration: 43.5 mm/s | ID Fan Draft: 27.7 mm/s,Conditional Pass,Minor deviation in Drive Torque,Schedule follow-up within 7 days,2024-11-17,Action Pending
INS-00040,RK001,Rotary Kiln,2024-04-11,Safety-Team,Quarterly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 20.2 °C | Burning Zone Temp: 56.5 °C | Drive Torque: 70.4 mm/s | Tyre Migration: 89.0 mm/s | ID Fan Draft: 51.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-07-10,Completed
INS-00041,BF001,Bag Filter,2023-01-20,Safety-Team,Annual,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 82.7 bar | Compressor Pressure: 55.2 bar | Filter Condition: 79.3 mm/s | Fan Vibration: 32.4 mm/s | Dust Emission: 13.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-20,Completed
INS-00042,BF001,Bag Filter,2023-01-05,Maintenance-Team,Weekly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 67.9 bar | Compressor Pressure: 32.2 bar | Filter Condition: 82.5 mm/s | Fan Vibration: 72.1 mm/s | Dust Emission: 53.5 mm/s,Fail,Critical deviation in Fan Vibration,"Immediate maintenance required, equipment taken offline",2023-01-12,Action Pending
INS-00043,VRM001,Vertical Roller Mill,2023-04-01,QA-Team,Annual,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 67.2 bar | Roller Gap: 18.6 mm/s | Gearbox Oil Level: 72.8 mm/s | Vibration: 69.6 mm/s | Mill DP: 82.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-05-01,Completed
INS-00044,PU001,Centrifugal Pump,2024-11-20,Safety-Team,Monthly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 73.7 bar | Vibration: 88.6 mm/s | Seal Condition: 62.4 mm/s | Bearing Temp: 73.9 °C | Motor Amps: 37.8 A,Pass,All parameters within normal range,Continue routine monitoring,2024-12-20,Completed
INS-00045,BC001,Belt Conveyor,2023-12-22,Safety-Team,Daily,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 84.4 mm/s | Idler Condition: 70.6 mm/s | Belt Tension: 10.7 mm/s | Motor Amps: 76.7 A | Slip Detection: 52.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-01-21,Completed
INS-00046,ENG001,Cummins Engine,2024-10-13,Safety-Team,Daily,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 27.6 bar | Coolant Temp: 54.4 °C | Battery Voltage: 67.4 mm/s | Exhaust Temp: 28.4 °C | RPM: 76.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-10-14,Completed
INS-00047,BF001,Bag Filter,2023-08-16,Production-Team,Daily,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 89.8 bar | Compressor Pressure: 21.6 bar | Filter Condition: 57.5 mm/s | Fan Vibration: 34.1 mm/s | Dust Emission: 76.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-08-15,Completed
INS-00048,JC001,Jaw Crusher,2023-11-23,Production-Team,Monthly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 47.3 mm/s | Bearing Temp: 40.8 °C | Flywheel Alignment: 17.5 mm/s | Motor Amps: 24.8 A | Oil Level: 61.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-11-30,Completed
INS-00049,RK001,Rotary Kiln,2024-01-18,QA-Team,Monthly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 16.2 °C | Burning Zone Temp: 67.1 °C | Drive Torque: 73.1 mm/s | Tyre Migration: 55.9 mm/s | ID Fan Draft: 20.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-01-19,Completed
INS-00050,BE001,Bucket Elevator,2024-12-30,Third-Party-Auditor,Annual,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 13.7 mm/s | Belt Slippage: 19.8 mm/s | Bearing Temp: 75.1 °C | Drive Current: 47.3 A | Take-up Position: 87.9 mm/s,Conditional Pass,Minor deviation in Chain Tension,Schedule follow-up within 7 days,2025-01-29,Action Pending
INS-00051,BF001,Bag Filter,2023-06-19,Maintenance-Team,Quarterly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 35.8 bar | Compressor Pressure: 63.7 bar | Filter Condition: 54.6 mm/s | Fan Vibration: 12.6 mm/s | Dust Emission: 88.4 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-09-17,Completed
INS-00052,BC001,Belt Conveyor,2023-02-12,Third-Party-Auditor,Annual,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 54.0 mm/s | Idler Condition: 61.0 mm/s | Belt Tension: 67.5 mm/s | Motor Amps: 62.8 A | Slip Detection: 37.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-02-19,Completed
INS-00053,ENG001,Cummins Engine,2023-08-09,Safety-Team,Annual,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 75.1 bar | Coolant Temp: 80.7 °C | Battery Voltage: 42.8 mm/s | Exhaust Temp: 36.3 °C | RPM: 18.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-08-16,Completed
INS-00054,VRM001,Vertical Roller Mill,2024-06-12,Production-Team,Daily,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 87.1 bar | Roller Gap: 64.9 mm/s | Gearbox Oil Level: 46.1 mm/s | Vibration: 70.6 mm/s | Mill DP: 16.1 mm/s,Fail,Critical deviation in Mill DP,"Immediate maintenance required, equipment taken offline",2024-09-10,Action Pending
INS-00055,BE001,Bucket Elevator,2024-12-27,Production-Team,Daily,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 78.5 mm/s | Belt Slippage: 27.4 mm/s | Bearing Temp: 36.3 °C | Drive Current: 86.8 A | Take-up Position: 72.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-12-27,Completed
INS-00056,RK001,Rotary Kiln,2024-01-04,Third-Party-Auditor,Quarterly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 84.1 °C | Burning Zone Temp: 79.7 °C | Drive Torque: 81.8 mm/s | Tyre Migration: 56.9 mm/s | ID Fan Draft: 19.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-01-03,Completed
INS-00057,AC001,Air Compressor,2024-02-05,Safety-Team,Weekly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 36.4 bar | Oil Level: 26.9 mm/s | Air Temperature: 69.5 °C | Motor Amps: 40.0 A | Safety Valve: 20.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-02-12,Completed
INS-00058,JC001,Jaw Crusher,2023-10-30,QA-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 40.8 mm/s | Bearing Temp: 64.8 °C | Flywheel Alignment: 80.8 mm/s | Motor Amps: 59.9 A | Oil Level: 16.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-10-31,Completed
INS-00059,BE001,Bucket Elevator,2023-09-08,Safety-Team,Quarterly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 55.7 mm/s | Belt Slippage: 85.8 mm/s | Bearing Temp: 88.0 °C | Drive Current: 56.1 A | Take-up Position: 73.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-09-15,Completed
INS-00060,BF001,Bag Filter,2023-08-21,Production-Team,Monthly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 81.3 bar | Compressor Pressure: 26.5 bar | Filter Condition: 37.6 mm/s | Fan Vibration: 72.6 mm/s | Dust Emission: 42.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-11-19,Completed
INS-00061,BM001,Ball Mill,2023-06-17,Production-Team,Monthly,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 18.1 °C | Oil Pressure: 72.7 bar | Motor Current: 13.3 A | Shell Temperature: 11.0 °C | Lubrication Flow: 28.0 mm/s,Conditional Pass,Minor deviation in Bearing Temp,Schedule follow-up within 7 days,2024-06-16,Action Pending
INS-00062,PU001,Centrifugal Pump,2023-08-18,Production-Team,Monthly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 53.6 bar | Vibration: 10.0 mm/s | Seal Condition: 44.5 mm/s | Bearing Temp: 33.3 °C | Motor Amps: 47.1 A,Conditional Pass,Minor deviation in Motor Amps,Schedule follow-up within 7 days,2023-08-25,Action Pending
INS-00063,PU001,Centrifugal Pump,2023-04-24,Safety-Team,Annual,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 59.0 bar | Vibration: 73.7 mm/s | Seal Condition: 78.8 mm/s | Bearing Temp: 29.6 °C | Motor Amps: 50.3 A,Pass,All parameters within normal range,Continue routine monitoring,2023-07-23,Completed
INS-00064,PU001,Centrifugal Pump,2024-10-05,Third-Party-Auditor,Quarterly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 63.5 bar | Vibration: 55.9 mm/s | Seal Condition: 75.6 mm/s | Bearing Temp: 57.3 °C | Motor Amps: 85.9 A,Pass,All parameters within normal range,Continue routine monitoring,2025-01-03,Completed
INS-00065,BE001,Bucket Elevator,2024-12-14,Maintenance-Team,Weekly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 34.2 mm/s | Belt Slippage: 43.7 mm/s | Bearing Temp: 53.9 °C | Drive Current: 48.4 A | Take-up Position: 89.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-12-15,Completed
INS-00066,ENG001,Cummins Engine,2023-09-09,Production-Team,Daily,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 12.8 bar | Coolant Temp: 21.9 °C | Battery Voltage: 53.0 mm/s | Exhaust Temp: 86.4 °C | RPM: 89.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-09-16,Completed
INS-00067,VRM001,Vertical Roller Mill,2024-02-10,Maintenance-Team,Daily,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 71.1 bar | Roller Gap: 41.3 mm/s | Gearbox Oil Level: 86.9 mm/s | Vibration: 29.7 mm/s | Mill DP: 74.6 mm/s,Conditional Pass,Minor deviation in Hydraulic Pressure,Schedule follow-up within 7 days,2024-02-11,Action Pending
INS-00068,PU001,Centrifugal Pump,2023-05-05,Third-Party-Auditor,Daily,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 85.1 bar | Vibration: 50.3 mm/s | Seal Condition: 76.9 mm/s | Bearing Temp: 33.2 °C | Motor Amps: 55.7 A,Pass,All parameters within normal range,Continue routine monitoring,2023-06-04,Completed
